IDFG_LabID,LabID,UI_ID,Notes,AgeCat,Age_Notes,Coat,Breeder,Disperser,Sex,GMU,Lat,Long,CoordType,Harv_Date
CluIDFG21G_0550,C127180,NA,,A,2_toothB_2-3_AD,NA,NA,NA,F,36,44.22692824,-114.7740077,Scell,4/27/2020
CluIDFG21G_0551,C127394,NA,,Unk,1_B_notes0-1_bioage~2,NA,NA,NA,F,21,45.40877695,-114.1203597,Scell,2/26/2020
CluIDFG21G_0552,C127396,NA,,Y/A,1_toothA_AD,NA,NA,NA,F,27,44.93446641,-114.7834528,Scell,2/29/2020
CluIDFG21G_0553,C127397,NA,,Unk,1_toothB_bio1_notes0-1,NA,NA,NA,M,27,44.93446641,-114.7834528,Scell,2/25/2020
CluIDFG21G_0554,C127464,NA,Lick Creek-Salmon Zone; GMU assigned by creek; Scell in MT,P,0.5_toothA_bio AD,NA,NA,NA,M,21A,45.64446605,-113.7846507,Scell,1/6/2020
CluIDFG21G_0555,C127465,NA,,P,0.5_toothA_bioY,NA,NA,NA,F,21,45.40877695,-114.1203597,Scell,1/16/2020
CluIDFG21G_0556,C127660,NA,,P,0.5_toothA_bioY,NA,NA,NA,F,17,45.87956603,-114.4590001,Scell,10/7/2019
CluIDFG21G_0557,C127676,NA,,UNK,1_toothB_bioAD_notes0-1,NA,NA,NA,M,27,44.70041083,-114.4495864,Scell,9/18/2019
CluIDFG21G_0558,C127696,NA,,P,0.5_toothA_bioPUP,NA,NA,NA,F,17,46.11349749,-114.7999925,Scell,9/28/2019
CluIDFG21G_0559,C127697,NA,,A,5_toothB_notes5-6,NA,NA,NA,M,17,46.11349749,-114.7999925,Scell,9/28/2019
CluIDFG21G_0560,C127699,NA,,P,0.5_toothA_bioPUP,NA,NA,NA,F,17,46.11349749,-114.7999925,Scell,10/4/2019
CluIDFG21G_0561,C127700,NA,,A,2_toothA_bioAD,NA,NA,NA,M,17,46.11349749,-114.7999925,Scell,10/4/2019
CluIDFG21G_0562,C127701,NA,,Y/A,1_toothA_bioAD,NA,NA,NA,F,29,44.93695569,-113.7873116,Scell,10/13/2019
CluIDFG21G_0563,C127706,NA,,Unk,1_toothB_notes0-1,NA,NA,NA,M,17,45.8777112,-114.796602,Scell,11/16/2019
CluIDFG21G_0564,C127707,NA,,Unk,1_toothB_notes0-1,NA,NA,NA,M,17,45.8777112,-114.796602,Scell,11/16/2019
CluIDFG21G_0565,C127714,NA,,Y/A,1_toothA_bioAD,NA,NA,NA,M,21,45.40877695,-114.1203597,Scell,11/29/2019
CluIDFG21G_0566,C127718,NA,,A,3_toothA_bioAD,NA,NA,NA,F,21,45.64460508,-114.1208637,Scell,12/15/2019
CluIDFG21G_0567,C127721,NA,,P,0.5_toothA,NA,NA,NA,F,29,44.93695569,-113.7873116,Scell,12/20/2019
CluIDFG21G_0568,C127722,NA,,P,0.5_toothA_bioY,NA,NA,NA,F,28,45.17293904,-114.1198619,Scell,12/21/2019
CluIDFG21G_0569,C127729,NA,,A,3_toothA_bioAD,NA,NA,NA,F,37,44.22935718,-113.789876,Scell,10/16/2019
CluIDFG21G_0570,C127735,NA,,Unk,broken-tooth_noest,NA,NA,NA,M,36,44.22692824,-114.7740077,Scell,10/14/2019
CluIDFG21G_0571,C127742,NA,,P,0.5_toothA_bioY,NA,NA,NA,M,51,44.22828277,-113.4618313,Scell,10/28/2019
CluIDFG21G_0572,C127745,NA,Hawley Creek- GMU deermined with creek,A,3_toothA_bioAD,NA,NA,NA,M,51,44.70000718,-113.4574798,Scell,10/31/2019
CluIDFG21G_0573,C127748,NA,,P,0.5_toothA_bioY,NA,NA,NA,M,17,46.11349749,-114.7999925,Scell,11/1/2019
CluIDFG22G_0033,C130012,NA,,Y,Age1,NA,NA,NA,F,50,43.75770611,-114.1170004,Scell,10/5/2021
CluIDFG22G_0034,C130301,NA,,Unk,no age info,NA,NA,NA,M,49,43.52179971,-114.1165435,Scell,6/18/2021
CluIDFG22G_0035,C130358,NA,,Unk,no age info,NA,NA,NA,M,48,43.52100967,-114.4407334,Scell,7/18/2021
CluIDFG22G_0036,C130359,NA,,Unk,no age info,NA,NA,NA,M,44,43.51930053,-114.7649024,Scell,8/27/2021
CluIDFG22G_0037,C130413,NA,Wickiup Drainage,Unk,no age info,NA,NA,NA,M,36A,43.99279964,-114.4442099,Scell,5/28/2021
CluIDFG22G_0038,C132638,NA,,A,Age2,NA,NA,NA,F,39,43.97477646,-116.0773086,Scell,10/16/2021
CluIDFG22G_0039,C133120,NA,,Y,Age1,NA,NA,NA,F,13,45.85348906,-116.4836273,Scell,12/1/2021
CluIDFG22G_0040,C135319,NA,,Y,CategoryY,NA,NA,NA,M,1,48.44430507,-116.6074242,Scell,5/27/2021
CluIDFG22G_0041,C135323,NA,,Unk,no age info,NA,NA,NA,M,1,48.92281286,-116.274563,Scell,9/11/2021
CluIDFG22G_0042,C135324,NA,,P,0.5Age,NA,NA,NA,M,1,48.92281286,-116.274563,Scell,9/11/2021
CluIDFG22G_0043,C135325,NA,,Unk,no age info,NA,NA,NA,M,1,48.92281286,-116.274563,Scell,11/6/2021
CluIDFG22G_0044,C136639,NA,RUNNING CREEK (half in both cells 71/72)-ALC assigned to Scell 72,A,Age2,NA,NA,NA,F,17,45.8777112,-114.796602,Scell,5/24/2021
CluIDFG22G_0045,C136723,NA,,Unk,no age info,NA,NA,NA,F,15,45.87101035,-115.4716621,Scell,10/10/2021
CluIDFG22G_0046,C139763,NA,,Unk,no age info,NA,NA,NA,F,36,44.22692824,-114.7740077,Scell,9/17/2021
CluIDFG22G_0047,C139764,NA,,Unk,no age info,NA,NA,NA,F,35,44.45640421,-115.4356769,Scell,10/16/2021
CluIDFG22G_0048,C139779,NA,,Unk,no age info,NA,NA,NA,M,58,NA,NA,Calculate,6/11/2021
CluIDFG22G_0049,C139780,NA,,Unk,no age info,NA,NA,NA,F,58,NA,NA,Calculate,6/17/2021
CluIDFG22G_0050,C140708,NA,,Y,Age1,NA,NA,NA,F,26,45.17029255,-114.7866794,Scell,10/30/2021
CluIDFG22G_0051,C140878,NA,,Unk,no age info,NA,NA,NA,M,24,44.68194001,-116.1024297,Scell,10/24/2021
CluIDFG22G_0052,C141854,NA,,A,Age2,NA,NA,NA,M,44,43.55567,-114.75112,LatLong,7/20/2021
CluIDFG22G_0053,C141857,NA,,Unk,no age info,NA,NA,NA,F,44,43.51930053,-114.7649024,Scell,9/17/2021
CluIDFG22G_0054,C141858,NA,,Unk,no age info,NA,NA,NA,F,44,43.51930053,-114.7649024,Scell,9/23/2021
CluIDFG22G_0055,C141859,NA,,Unk,no age info,NA,NA,NA,F,44,43.51930053,-114.7649024,Scell,9/29/2021
CluIDFG22G_0056,C141939,NA,,Unk,no age info,NA,NA,NA,M,23,45.38227937,-116.4628985,Scell,10/21/2021
NA,B413,UI0673,"F, Archie Mountain, gray",P,pup collaring in January,Gray,FALSE,FALSE,F,35,NA,NA,Calculate,Y2009
NA,C010807,UI0717,"F, mort 2012",Unk,no age info,NA,FALSE,FALSE,F,Unk,NA,NA,Unk,8/24/2012
NA,116WY,UI1369,"M, Sagebrush, mort 2017",P,0-1_SA_toothB,Gray,FALSE,FALSE,M,28,NA,NA,Calculate,3/23/2017
NA,B419,UI0024,"M, Wapiti, breeder 2009-2011, gray",A,3yrs_breeder_pedigree,Gray,TRUE,FALSE,M,35,NA,NA,Calculate,7/9/2011
NA,C097911,UI0233,"M, Cutoff Peak, white, 4yo",A,3-5BR_toothB,White,FALSE,FALSE,M,1,NA,NA,Calculate,9/16/2012
NA,11CUS,UI0075,"M, breeder several years, gray, scott mountain",A,at least 9-10 from pedigree,Gray,TRUE,FALSE,M,34,NA,NA,Calculate,NA
NA,C094784,UI0902,"M, died 2012, wildife services",Y/A,SA,NA,FALSE,FALSE,M,39,NA,NA,Calculate,8/23/2012
C111212,11CTO,UI2910,"F, 2yo, gray, GMU16",A,2_toothA,Gray,FALSE,FALSE,F,16,46.10185673,-115.8167808,Scell,3/31/2018
C131381,119RP,UI2911,"M, 8yo,gray, GMU16",A,8_toothC_ageNotes7-12,gray,FALSE,FALSE,M,16,NA,NA,Calculate,11/5/2017
C132614,11CTU,UI2912,"M, 0.5yo, gray/brown ,GMU39",P,0.5_toothA,Brown/Gray,FALSE,FALSE,M,39,NA,NA,Calculate,10/11/2017
C128689,11CTI,UI2913,"F, 0.5yo,gray, GMU10A",P,0.5_toothA,Gray,FALSE,FALSE,F,10A,NA,NA,Calculate,2/3/2018
C128412,116WR,UI2914,"M, 1yo, black, GMU12",Y,1_toothA,Black,FALSE,FALSE,M,12,NA,NA,Calculate,5/17/2017
NA,C094785,UI0903,"F, died 2012, wildlife services",Y/A,SA,NA,FALSE,FALSE,F,39,44.0041,-116.03075,LatLong,8/29/2012
C132611,11CTV,UI2915,"M, 1yo, gray, GMU36",Y,1_toothA,Gray,FALSE,FALSE,M,36,NA,NA,Calculate,10/10/2017
C132381,11CTF,UI2916,"F, 0.5yo, black, GMU4",P,0.5_toothA,Black,FALSE,FALSE,F,4,NA,NA,Calculate,1/26/2018
C111209,11CTL,UI2917,"F,1yo, gray,GMU10A",Y/A,1_toothB_1-2BR,Gray,FALSE,FALSE,F,10A,NA,NA,Calculate,3/13/2018
