UI_ID,AgeCat,Breeder,Disperser,Coat
UI0003,A,TRUE,FALSE,Gray
UI0004,Y,FALSE,FALSE,Black
UI0009,A,FALSE,FALSE,Gray
UI0011,A,TRUE,FALSE,Gray
UI0013,A,FALSE,FALSE,Gray
UI0018,A,FALSE,TRUE,Black
UI0022,A,FALSE,TRUE,Gray
UI0024,A,TRUE,FALSE,Gray
UI0025,A,FALSE,FALSE,Unknown
UI0031,A,TRUE,FALSE,Unknown
UI0033,A,FALSE,FALSE,Unknown
UI0036,A,FALSE,TRUE,Gray
UI0039,A,TRUE,FALSE,Unknown
UI0041,Y,FALSE,FALSE,Gray
UI0058,A,FALSE,TRUE,Gray
UI0062,A,TRUE,FALSE,Black
UI0063,A,TRUE,TRUE,Gray
UI0066,A,FALSE,FALSE,Gray
UI0070,A,FALSE,FALSE,Black
UI0074,Y/A,FALSE,FALSE,Gray
UI0075,A,TRUE,FALSE,Gray
UI0076,A,FALSE,TRUE,Gray
UI0077,A,FALSE,FALSE,Black
UI0078,A,TRUE,FALSE,Unknown
UI0079,A,TRUE,FALSE,Gray
UI0080,A,TRUE,TRUE,Black
UI0081,A,TRUE,FALSE,Unknown
UI0083,A,FALSE,TRUE,Gray
UI0086,Y,FALSE,TRUE,Gray
UI0087,A,TRUE,FALSE,Unknown
UI0088,A,TRUE,FALSE,Unknown
UI0093,A,FALSE,TRUE,Black
UI0094,A,FALSE,TRUE,Gray
UI0103,Y,FALSE,FALSE,Unknown
UI0105,A,TRUE,FALSE,Gray
UI0106,Y/A,FALSE,FALSE,Unknown
UI0107,A,FALSE,TRUE,Unknown
UI0113,A,TRUE,FALSE,Gray
UI0115,A,FALSE,FALSE,Unknown
UI0117,A,FALSE,FALSE,Gray
UI0118,A,TRUE,FALSE,Gray
UI0119,A,FALSE,FALSE,Unknown
UI0120,A,FALSE,FALSE,Unknown
UI0121,A,FALSE,FALSE,Unknown
UI0130,Y,FALSE,FALSE,Unknown
UI0131,A,FALSE,FALSE,Unknown
UI0136,A,FALSE,FALSE,Unknown
UI0141,A,FALSE,TRUE,Black
UI0146,A,FALSE,FALSE,Gray
UI0155,A,FALSE,TRUE,Gray
UI0157,A,TRUE,TRUE,Gray
UI0164,A,TRUE,TRUE,Black
UI0166,A,TRUE,FALSE,Gray
UI0169,A,FALSE,FALSE,Unknown
UI0175,A,FALSE,FALSE,Gray
UI0177,Y,FALSE,FALSE,Black
UI0179,A,FALSE,FALSE,White
UI0182,A,TRUE,FALSE,Black
UI0184,A,FALSE,FALSE,Gray
UI0185,A,FALSE,TRUE,Gray
UI0187,Y,FALSE,FALSE,Gray
UI0189,A,FALSE,FALSE,Gray
UI0191,A,FALSE,FALSE,Unknown
UI0197,A,FALSE,FALSE,Gray
UI0198,A,TRUE,FALSE,Gray
UI0200,Y,FALSE,FALSE,Gray
UI0201,A,TRUE,TRUE,Gray
UI0202,Y,FALSE,FALSE,Unknown
UI0203,A,TRUE,TRUE,Gray
UI0204,A,FALSE,TRUE,Unknown
UI0205,A,FALSE,FALSE,Gray
UI0216,A,FALSE,FALSE,Gray
UI0219,A,FALSE,FALSE,Gray
UI0221,A,FALSE,FALSE,Gray
UI0222,Y/A,FALSE,FALSE,Unknown
UI0223,A,FALSE,FALSE,Gray
UI0224,A,FALSE,FALSE,Unknown
UI0226,A,FALSE,FALSE,Unknown
UI0231,A,TRUE,FALSE,Gray
UI0232,A,FALSE,FALSE,Gray
UI0233,A,FALSE,FALSE,White
UI0243,A,FALSE,TRUE,Gray
UI0249,A,FALSE,FALSE,Gray
UI0250,A,FALSE,FALSE,Unknown
UI0253,A,FALSE,FALSE,Gray
UI0256,A,FALSE,FALSE,Unknown
UI0262,Y/A,FALSE,FALSE,Unknown
UI0267,A,FALSE,FALSE,Unknown
UI0269,A,FALSE,TRUE,Gray
UI0272,A,FALSE,TRUE,Gray
UI0276,A,FALSE,TRUE,Gray
UI0277,A,FALSE,TRUE,Unknown
UI0278,A,TRUE,TRUE,Unknown
UI0281,A,FALSE,TRUE,Gray
UI0286,Y,FALSE,TRUE,Gray
UI0288,A,FALSE,TRUE,Gray
UI0290,A,FALSE,TRUE,Gray
UI0291,A,TRUE,TRUE,Unknown
UI0295,Y,FALSE,TRUE,Gray
UI0297,A,TRUE,FALSE,Gray
UI0299,A,TRUE,TRUE,Black
UI0300,A,TRUE,FALSE,Unknown
UI0301,A,TRUE,TRUE,Unknown
UI0303,A,FALSE,TRUE,Gray
UI0304,A,FALSE,TRUE,Gray
UI0305,A,TRUE,FALSE,Gray
UI0306,Y,FALSE,FALSE,Gray
UI0308,A,FALSE,FALSE,Gray
UI0309,A,TRUE,FALSE,Gray
UI0310,A,TRUE,FALSE,Unknown
UI0315,Y,FALSE,FALSE,Gray
UI0324,Y,FALSE,FALSE,Gray
UI0329,A,TRUE,TRUE,Unknown
UI0332,Y,FALSE,FALSE,Gray
UI0333,A,FALSE,TRUE,Gray
UI0335,A,FALSE,TRUE,Gray
UI0337,Y,FALSE,TRUE,Gray
UI0338,Y,FALSE,FALSE,Gray
UI0339,Y,FALSE,FALSE,Unknown
UI0344,Y,FALSE,FALSE,Gray
UI0346,A,TRUE,TRUE,Unknown
UI0350,Y,FALSE,TRUE,Gray
UI0351,A,FALSE,TRUE,Unknown
UI0366,A,TRUE,TRUE,Gray
UI0367,Y,FALSE,FALSE,Unknown
UI0368,Y/A,FALSE,FALSE,Unknown
UI0371,A,FALSE,TRUE,Gray
UI0376,Y,FALSE,FALSE,Unknown
UI0379,A,FALSE,FALSE,Unknown
UI0385,Y,FALSE,FALSE,Unknown
UI0388,Y,FALSE,FALSE,Unknown
UI0392,Y,FALSE,TRUE,Gray
UI0396,Y,FALSE,FALSE,Gray
UI0397,Y,FALSE,FALSE,Gray
UI0398,A,TRUE,TRUE,Gray
UI0402,Y,FALSE,TRUE,Black
UI0404,Y,FALSE,FALSE,Unknown
UI0407,Y,FALSE,FALSE,Unknown
UI0413,Y,FALSE,TRUE,Gray
UI0420,Y,FALSE,FALSE,Gray
UI0426,Y,FALSE,FALSE,Unknown
UI0436,A,FALSE,FALSE,Unknown
UI0444,Y,FALSE,FALSE,Unknown
UI0445,A,FALSE,TRUE,Unknown
UI0449,A,FALSE,FALSE,Unknown
UI0451,A,FALSE,TRUE,Gray
UI0456,A,FALSE,TRUE,Gray
UI0459,A,FALSE,FALSE,Unknown
UI0460,A,FALSE,FALSE,Unknown
UI0463,Y,FALSE,FALSE,Unknown
UI0464,A,FALSE,TRUE,Gray
UI0578,A,FALSE,TRUE,Unknown
UI0579,Y,FALSE,TRUE,Gray
UI0581,A,FALSE,FALSE,Black
UI0582,Y,FALSE,FALSE,Black
UI0583,A,FALSE,FALSE,Gray
UI0585,Y,FALSE,FALSE,Unknown
UI0652,A,FALSE,TRUE,Gray
UI0653,A,FALSE,TRUE,Gray
UI0654,A,FALSE,TRUE,Gray
UI0655,A,FALSE,FALSE,Black
UI0656,A,FALSE,TRUE,Gray
UI0657,A,FALSE,FALSE,Gray
UI0658,A,FALSE,FALSE,Black
UI0659,A,FALSE,TRUE,Black
UI0660,A,FALSE,FALSE,Gray
UI0661,A,FALSE,FALSE,Black
UI0662,A,FALSE,TRUE,Gray
UI0663,A,FALSE,FALSE,Gray
UI0664,A,FALSE,FALSE,Black
UI0665,Y/A,FALSE,FALSE,Gray
UI0666,Y/A,FALSE,FALSE,Gray
UI0667,A,FALSE,TRUE,Gray
UI0668,A,FALSE,FALSE,Gray
UI0669,A,FALSE,FALSE,Gray
UI0670,Y/A,FALSE,FALSE,Gray
UI0671,A,FALSE,FALSE,Gray
UI0672,Y,FALSE,FALSE,Gray
UI0674,Y,FALSE,FALSE,Gray
UI0675,Y,FALSE,FALSE,Gray
UI0676,Y/A,FALSE,FALSE,Gray
UI0677,A,FALSE,TRUE,Gray
UI0678,Y,FALSE,FALSE,Gray
UI0680,Y,FALSE,TRUE,Black
UI0681,A,FALSE,TRUE,Gray
UI0683,A,FALSE,TRUE,Gray
UI0684,A,FALSE,FALSE,Gray
UI0685,A,FALSE,FALSE,Gray
UI0686,A,FALSE,FALSE,Gray
UI0689,A,FALSE,FALSE,Gray
UI0690,A,FALSE,FALSE,Gray
UI0691,A,FALSE,TRUE,Gray
UI0692,A,FALSE,FALSE,Gray
UI0693,A,FALSE,FALSE,Gray
UI0694,A,FALSE,FALSE,Black
UI0695,Y,FALSE,FALSE,Gray
UI0696,A,FALSE,TRUE,Black
UI0697,A,FALSE,FALSE,Gray
UI0698,A,FALSE,TRUE,Gray
UI0699,A,FALSE,TRUE,Gray
UI0700,A,TRUE,TRUE,Gray
UI0701,Y,FALSE,FALSE,Gray
UI0702,A,FALSE,TRUE,Gray
UI0703,A,FALSE,FALSE,Gray
UI0704,A,FALSE,FALSE,Gray
UI0705,A,FALSE,FALSE,Gray
UI0706,A,FALSE,TRUE,Gray
UI0707,A,FALSE,TRUE,Gray
UI0708,Y/A,FALSE,FALSE,Gray
UI0710,Y,FALSE,FALSE,Gray
UI0711,Y,FALSE,FALSE,Gray
UI0712,Y,FALSE,FALSE,Gray
UI0713,Y,FALSE,FALSE,Gray
UI0714,Y,FALSE,FALSE,Gray
UI0721,Y/A,FALSE,FALSE,Unknown
UI0725,A,FALSE,FALSE,Unknown
UI0728,Y,FALSE,FALSE,Unknown
UI0730,A,FALSE,FALSE,Unknown
UI0732,Y/A,FALSE,FALSE,Unknown
UI0734,A,FALSE,FALSE,Unknown
UI0742,A,FALSE,FALSE,Unknown
UI0743,A,FALSE,FALSE,Unknown
